date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:52	152006/152006	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-251c6%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/app-contact.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/app-contact.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:52	180989/180989	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-2c2fd%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/app-contact2.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/app-contact2.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:53	170493/170493	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-299fd%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/app-invoice.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/app-invoice.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:53	231005/231005	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-3865d%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/page-user-profile.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/page-user-profile.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:54	146936/146936	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-23df8%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/blog-posts.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/blog-posts.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:54	139400/139400	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-22088%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/blog-detail.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/blog-detail.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:55	170034/170034	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-29832%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/eco-shop.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/eco-shop.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:55	152208/152208	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-25290%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/eco-shop-detail.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/eco-shop-detail.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:55	140873/140873	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-22649%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/eco-product-list.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/eco-product-list.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:56	145981/145981	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-23a3d%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/eco-checkout.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/eco-checkout.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:56	134135/134135	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-20bf7%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/page-pricing.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/page-pricing.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:56	132824/132824	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-206d8%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/page-faq.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/page-faq.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:57	158322/158322	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-26a72%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/page-account-settings.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/page-account-settings.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:57	176127/176127	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-2afff%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/widgets-cards.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/widgets-cards.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:58	133547/133547	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-209ab%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/widgets-banners.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/widgets-banners.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
